,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
160,C32 [Human melanoma],C32 [Human melanoma],CVCL_1097,C32_154_2019,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
161,C32TG,C32TG,CVCL_2324,C32TG_155_2019,C3802,Amelanotic melanoma,NA,NA,NA,NA,Melanoma (MEL),Melanoma,Skin
162,C8166,NA,CVCL_1099,C8166_157_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Ca Ski,Ca Ski,CVCL_1100,CaSki_158_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
164,CA-HPV-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,CA46,CA46,CVCL_1101,CA46_159_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
166,Ca9-22,Ca9-22,CVCL_1102,Ca922_160_2019,C129857,Gingival squamous cell carcinoma,NA,NA,NA,NA,Oral Cavity Squamous Cell Carcinoma (OCSC),Head and Neck Cancer,Head and Neck
167,Caco-2,Caco-2,CVCL_0025,Caco2_161_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
168,CADO-ES1,CADO-ES1,CVCL_1103,CADOES1_162_2019,C4817,Ewing sarcoma,NA,NA,NA,NA,Ewing Sarcoma,Bone Cancer,Bone
169,Caki-1,Caki-1,CVCL_0234,CAKI1_163_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
170,Caki-2,Caki-2,CVCL_0235,Caki2_164_2019,C6975,Papillary renal cell carcinoma,NA,NA,NA,NA,Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
171,CAL-120,CAL-120,CVCL_1104,CAL120_165_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
172,CAL-12T,CAL-12T,CVCL_1105,CAL12T_166_2019,C2926,Non-small cell lung carcinoma,NA,NA,NA,NA,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
173,CAL-148,CAL-148,CVCL_1106,CAL148_167_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
174,CAL-27,CAL-27,CVCL_1107,CAL27_168_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
175,CAL-29,CAL-29,CVCL_1808,CAL29_169_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
176,CAL-33,CAL-33,CVCL_1108,CAL33_170_2019,C4648,Tongue squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma (HNSC),Head and Neck Cancer,Head and Neck
177,CAL-39,CAL-39,CVCL_1109,CAL39_171_2019,C4052,Vulvar squamous cell carcinoma,NA,NA,NA,NA,Squamous Cell Carcinoma of the Vulva/Vagina (VSC),Vaginal Cancer,Vulva/Vagina
178,CAL-51,CAL-51,CVCL_1110,CAL51_172_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
179,CAL-54,CAL-54,CVCL_1111,CAL54_173_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
180,CAL-62,CAL-62,CVCL_1112,CAL62_174_2019,C3878,Thyroid gland undifferentiated (anaplastic) carcinoma,NA,NA,NA,NA,Anaplastic Thyroid Cancer,Thyroid Cancer,Thyroid
181,CAL-72,CAL-72,CVCL_1113,CAL72_175_2019,C9145,Osteosarcoma,NA,NA,NA,NA,Osteosarcoma,Bone Cancer,Bone
182,CAL-78,CAL-78,CVCL_1809,CAL78_176_2019,C6476,Dedifferentiated chondrosarcoma,NA,NA,NA,NA,Dedifferentiated Chondrosarcoma,Bone Cancer,Bone
183,CAL-85-1,CAL-85-1,CVCL_1114,CAL851_177_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
184,Calu-1,Calu-1,CVCL_0608,Calu1_178_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
185,Calu-3,Calu-3,CVCL_0609,Calu3_179_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
186,Calu-6,Calu-6,CVCL_0236,Calu6_180_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
187,CAMA-1,CAMA-1,CVCL_1115,CAMA1_181_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
188,Caov-3,Caov-3,CVCL_0201,Caov3_182_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
189,Caov-4,Caov-4,CVCL_0202,Caov4_183_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
190,Capan-1,Capan-1,CVCL_0237,CAPAN1_184_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
191,Capan-2,Capan-2,CVCL_0026,Capan2_185_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
192,CaR-1,CaR-1,CVCL_1116,CaR1_186_2019,C9383,Rectal adenocarcinoma,NA,NA,NA,NA,Rectal Adenocarcinoma,Colorectal Cancer,Bowel
193,CAS-1,CAS-1,CVCL_1117,CAS1_187_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
194,CCF-STTG1,CCF-STTG1,CVCL_1118,CCFSTTG1_188_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
195,CCK-81,CCK-81,CVCL_2873,CCK81_189_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
196,CCRF-CEM,CCRF-CEM,CVCL_0207,CCRFCEM_190_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
197,CCRF-SB,CCRF-SB,CVCL_1860,CCRFSB_191_2019,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
198,CEM/C1,CEM/C1,NA,NA,C7953,Childhood T acute lymphoblastic leukemia,NA,NA,NA,NA,Early T-Cell Precursor Lymphoblastic Leukemia (ETPLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
199,CESS,CESS,CVCL_0209,CESS_192_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
200,CFPAC-1,CFPAC-1,CVCL_1119,CFPAC1_193_2019,C2975,Cystic fibrosis,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,NA
201,CGTH-W-1,CGTH-W-1,CVCL_1120,CGTHW1_194_2019,C46008,Thyroid gland squamous cell carcinoma,NA,NA,NA,NA,Thyroid,"Thyroid Cancer, NOS",Thyroid
202,CH-157MN,CH-157MN,CVCL_5723,CH157MN_195_2019,C3230,Meningioma,NA,NA,NA,NA,Meningioma,CNS Cancer,CNS/Brain
203,ChaGo-K-1,ChaGo-K-1,CVCL_1121,ChaGoK1_196_2019,C35875,Bronchogenic carcinoma,NA,NA,NA,NA,Lung,"Lung Cancer, NOS",Lung
204,CHL-1,CHL-1,CVCL_1122,CHL1_197_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
205,CHP-126,CHP-126,CVCL_1123,CHP126_198_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
206,CHP-134,CHP-134,CVCL_1124,CHP134_199_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
207,CHP-212,CHP-212,CVCL_1125,CHP212_200_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
208,CHSA0011,CHSA0011,CVCL_X483,CHSA0011_201_2019,C2946,Chondrosarcoma,NA,NA,NA,NA,Chondrosarcoma,Bone Cancer,Bone
209,CHSA0108,CHSA0108,CVCL_X484,CHSA0108_202_2019,C2946,Chondrosarcoma,NA,NA,NA,NA,Chondrosarcoma,Bone Cancer,Bone
210,CHSA8926,CHSA8926,CVCL_X485,CHSA8926_203_2019,C2946,Chondrosarcoma,NA,NA,NA,NA,Chondrosarcoma,Bone Cancer,Bone
211,Ci-1,Ci-1,CVCL_1861,CI1_204_2019,C3457,B-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature B-Cell Neoplasms,Mature B-Cell Neoplasms,Lymphoid
212,CJM [Human melanoma],CJM [Human melanoma],CVCL_U797,CJM_205_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
213,CL-11,CL-11,CVCL_1978,CL11_206_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
214,CL-14,CL-14,CVCL_1979,CL14_207_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
215,CL-34,CL-34,CVCL_1980,CL34_208_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
216,CL-40,CL-40,CVCL_1982,CL40_209_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
217,CMK,CMK,CVCL_0216,CMK_210_2019,C2993,Down syndrome,C43223,Myeloid leukemia associated with Down syndrome,NA,NA,NA,NA,NA
218,CMK-11-5,CMK-11-5,CVCL_0217,CMK115_211_2019,C2993,Down syndrome,C43223,Myeloid leukemia associated with Down syndrome,NA,NA,NA,NA,NA
219,CMK-86,CMK-86,CVCL_2804,CMK86_212_2019,C2993,Down syndrome,C43223,Myeloid leukemia associated with Down syndrome,NA,NA,NA,NA,NA
220,CML-T1,CML-T1,CVCL_1126,CMLT1_213_2019,C3174,"Chronic myelogenous leukemia, BCR-ABL1 positive",NA,NA,NA,NA,"Chronic Myeloid Leukemia, BCR-ABL1+ (CMLBCRABL1)",Myeloproliferative Neoplasms,Myeloid
221,COLO 201,COLO 201,CVCL_1987,COLO201_214_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
222,COLO 205,COLO 205,CVCL_0218,COLO205_221_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
223,COLO 206F,COLO 206F,CVCL_1988,COLO206F_215_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
224,COLO 320,COLO 320,CVCL_1989,COLO320_222_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
225,COLO 320DM,COLO 320DM,CVCL_0219,COLO320DM_216_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
226,COLO 320HSR,COLO 320HSR,CVCL_0220,COLO320HSR_223_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
227,COLO 668,COLO 668,CVCL_1128,COLO668_224_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
228,COLO 677,COLO 677,CVCL_1862,COLO677_225_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
229,COLO 678,COLO 678,CVCL_1129,COLO678_226_2019,C4910,Colon carcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
230,COLO 679,COLO 679,CVCL_1130,COLO679_227_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
231,COLO 680N,COLO 680N,CVCL_1131,COLO680N_228_2019,C4024,Esophageal squamous cell carcinoma,NA,NA,NA,NA,Esophageal Squamous Cell Carcinoma,Esophagogastric Cancer,Esophagus/Stomach
232,COLO 684,COLO 684,CVCL_1132,COLO684_229_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
233,COLO 699,COLO 699,CVCL_1992,COLO699_230_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
234,COLO 704,COLO 704,CVCL_1994,COLO704_231_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
235,COLO 720E,COLO 720E,NA,NA,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
236,COLO 741,COLO 741,CVCL_1133,COLO741_232_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
237,COLO 775,COLO 775,CVCL_1996,COLO775_217_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
238,COLO 783,COLO 783,CVCL_1997,COLO783_233_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
239,COLO 792,COLO 792,CVCL_1134,COLO792_234_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
240,COLO 794,COLO 794,CVCL_2408,COLO794_218_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
241,COLO 800,COLO 800,CVCL_1135,COLO800_235_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
242,COLO 818,COLO 818,CVCL_1998,COLO818_236_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
243,COLO 824,COLO 824,CVCL_1136,COLO824_237_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
244,COLO 829,COLO 829,CVCL_1137,COLO829_238_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
245,COLO 849,COLO 849,CVCL_2002,COLO849_239_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
246,COLO 853,COLO 853,CVCL_2003,COLO853_219_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
247,COLO 857,COLO 857,CVCL_2004,COLO857_220_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
248,COR-L105,COR-L105,CVCL_1138,CORL105_240_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
249,COR-L23,COR-L23,CVCL_1139,CORL23_241_2019,C4450,Large cell lung carcinoma,NA,NA,NA,NA,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
250,COR-L24,COR-L24,CVCL_2409,CORL24_242_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
251,COR-L26,COR-L26,CVCL_2410,CORL26_243_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
252,COR-L279,COR-L279,CVCL_1140,CORL279_244_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
253,COR-L303,COR-L303,CVCL_2411,CORL303_245_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
254,COR-L311,COR-L311,CVCL_2412,CORL311_246_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
255,COR-L32,COR-L32,CVCL_2413,CORL32_247_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
256,COR-L321,COR-L321,CVCL_2414,CORL321_248_2019,C4878,Lung carcinoma,NA,NA,NA,NA,Lung,"Lung Cancer, NOS",Lung
257,COR-L47,COR-L47,CVCL_2415,CORL47_249_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
258,COR-L51,COR-L51,CVCL_2416,CORL51_250_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
259,COR-L88,COR-L88,CVCL_1141,CORL88_251_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
260,COR-L95,COR-L95,CVCL_2418,CORL95_252_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
261,COR-L96-CAR,COR-L96-CAR,NA,NA,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
262,COV318,COV318,CVCL_2419,COV318_253_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
263,COV362,COV362,CVCL_2420,COV362_254_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
264,COV413A,COV413A,CVCL_2422,COV413A_255_2019,C4908,Ovarian carcinoma,NA,NA,NA,NA,Ovary/Fallopian Tube,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube
265,COV413B,COV413B,CVCL_2423,COV413B_256_2019,C4908,Ovarian carcinoma,NA,NA,NA,NA,Ovary/Fallopian Tube,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube
266,COV434,COV434,CVCL_2010,COV434_257_2019,C6261,Ovarian granulosa cell tumor,NA,NA,NA,NA,Granulosa Cell Tumor (GRCT),Sex Cord Stromal Tumor,Ovary/Fallopian Tube
267,COV504,COV504,CVCL_2424,COV504_258_2019,C4908,Ovarian carcinoma,NA,NA,NA,NA,Ovary/Fallopian Tube,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube
268,COV644,COV644,CVCL_2425,COV644_259_2019,C4908,Ovarian carcinoma,NA,NA,NA,NA,Ovary/Fallopian Tube,"Ovarian/Fallopian Tube Cancer, NOS",Ovary/Fallopian Tube
269,CP50-MEL-B,CP50-MEL-B,CVCL_1143,CP50MELB_260_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
270,CP66-MEL,CP66-MEL,CVCL_1144,CP66MEL_261_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
271,CP67-MEL,CP67-MEL,CVCL_1145,CP67MEL_262_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
272,CPC-N,CPC-N,CVCL_1146,CPCN_263_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
273,CRO-AP2,CRO-AP2,CVCL_1147,CROAP2_264_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
274,CRO-AP3,CRO-AP3,CVCL_1810,CROAP3_265_2019,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
275,CRO-AP5,CRO-AP5,NA,NA,C6915,Primary effusion lymphoma,NA,NA,NA,NA,Primary Effusion Lymphoma,Mature B-Cell Neoplasms,Lymphoid
276,CS-1 [Human chondrosarcoma],CS-1 [Human chondrosarcoma],CVCL_T023,CS1_266_2019,C2946,Chondrosarcoma,NA,NA,NA,NA,Chondrosarcoma,Bone Cancer,Bone
277,CTB-1,CTB-1,CVCL_1149,CTB1_267_2019,C8851,Diffuse large B-cell lymphoma,NA,NA,NA,NA,"Diffuse Large B-Cell Lymphoma, NOS (DLBCLNOS)",Mature B-Cell Neoplasms,Lymphoid
278,CTV-1,CTV-1,CVCL_1150,CTV1_268_2019,C9142,Adult T acute lymphoblastic leukemia,NA,NA,NA,NA,T-Lymphoblastic Leukemia/Lymphoma (TLL),T-Lymphoblastic Leukemia/Lymphoma,Lymphoid
279,CW-2,CW-2,CVCL_1151,CW2_269_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
280,CX-1,CX-1,CVCL_2011,CX1_270_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
281,D-245MG,D-245MG,NA,NA,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
282,D-247MG,D-247MG,CVCL_1153,D247MG_271_2019,C3796,Gliosarcoma,NA,NA,NA,NA,Gliosarcoma,Glioma,CNS/Brain
283,D-263MG,D-263MG,CVCL_1154,D263MG_272_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
284,D-336MG,D-336MG,CVCL_1156,D336MG_274_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
285,D-392MG,D-392MG,CVCL_1158,D392MG_275_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
286,D-397MG,D-397MG,NA,NA,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
287,D-423MG,D-423MG,CVCL_1160,D423MG_276_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
288,D-502MG,D-502MG,CVCL_1162,D502MG_277_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
289,D-538MG,D-538MG,NA,NA,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
290,D-542MG,D-542MG,CVCL_1164,D542MG_278_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
291,D-566MG,D-566MG,CVCL_1166,D566MG_279_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
292,D283 Med,D283 Med,CVCL_1155,D283MED_273_2019,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
293,D341 Med,D341 Med,CVCL_0018,D341Med_280_2019,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
294,D384 Med,D384 Med,NA,NA,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
295,D458 Med,D458 Med,NA,NA,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
296,D556 Med,D556 Med,NA,NA,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
297,DAN-G,DAN-G,CVCL_0243,DANG_281_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
298,Daoy,Daoy,CVCL_1167,Daoy_282_2019,C3222,Medulloblastoma,NA,NA,NA,NA,Medulloblastoma,Embryonal Tumor,CNS/Brain
299,Daudi,Daudi,CVCL_0008,Daudi_283_2019,C27694,Epstein-Barr virus-related Burkitt lymphoma,NA,NA,NA,NA,Non-Hodgkin Lymphoma (NHL),Non-Hodgkin Lymphoma,Lymphoid
300,DB,DB,CVCL_1168,DB_284_2019,C8851,Diffuse large B-cell lymphoma,NA,NA,NA,NA,"Diffuse Large B-Cell Lymphoma, NOS (DLBCLNOS)",Mature B-Cell Neoplasms,Lymphoid
301,DBTRG-05MG,DBTRG-05MG,CVCL_1169,DBTRG05MG_285_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
302,DEL,DEL,CVCL_1170,DEL_286_2019,C3720,Anaplastic large cell lymphoma,NA,NA,NA,NA,Anaplastic Large Cell Lymphoma,Mature T and NK Neoplasms,Lymphoid
303,DEOC-1,DEOC-1,CVCL_4161,DEOC1_287_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
304,Detroit 562,Detroit 562,CVCL_1171,Detroit562_288_2019,C102872,Pharyngeal squamous cell carcinoma,NA,NA,NA,NA,Nasopharyngeal Carcinoma (NPC),Head and Neck Cancer,Head and Neck
305,DFCI024,DFCI024,CVCL_A762,DFCI024_289_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
306,DG-75,DG-75,CVCL_0244,DG75_290_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
307,DiFi,DiFi,CVCL_6895,DIFI_291_2019,C2955,Colorectal carcinoma,C6728,Gardner syndrome,NA,NA,Colorectal Adenocarcinoma (COADREAD),Colorectal Cancer,Bowel
308,DJM-1,DJM-1,CVCL_1172,DJM1_292_2019,C4819,Skin squamous cell carcinoma,NA,NA,NA,NA,Cutaneous Squamous Cell Carcinoma,"Skin Cancer, Non-Melanoma",Skin
309,DK-MG,DK-MG,CVCL_1173,DKMG_293_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
310,DLD-1,DLD-1,CVCL_0248,DLD1_294_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
311,DM-3,DM-3,CVCL_2019,DM3_295_2019,C45663,Pleural sarcomatoid mesothelioma,NA,NA,NA,NA,"Pleural Mesothelioma, Sarcomatoid Type (PLSMESO)",Mesothelioma,Pleura
312,DMS 114,DMS 114,CVCL_1174,DMS114_297_2019,C4917,Small cell lung carcinoma,NA,NA,NA,NA,Small Cell Lung Cancer,Small Cell Lung Cancer,Lung
